trial,epsilon_m,eps_total_idx,eps_total,T,hv_NSGAII,hv_MOMA,hv_AMOMA,f1_min,f1_max,f2_min,f2_max,f3_min,f3_max
11,0.4793452844894778,7,3.36,7,0.5166522603595781,0.782329024694318,0.9301581051164762,0.3512491972535594,0.3584378817649254,0.0046179506090207,0.1008492421491568,3.355416991426344,3.3600000000000003
11,0.4793452844894778,8,3.84,7,0.29871910162767973,0.7727481065514372,0.8763606146367185,0.3507979234476844,0.3678076699737403,0.0022284824868569,0.0859412389040162,3.355416991426344,3.8400000000000007
11,0.4793452844894778,9,4.32,7,0.2137755818266529,0.6347554471089734,0.8252584540473297,0.3506326804558943,0.3586438188345526,0.000630046986338,0.6639772747931616,3.355416991426344,4.320000000000001
11,0.4793452844894778,10,4.8,7,0.20634045297907844,0.5973674711407698,0.8615348311689693,0.3505130917325235,0.3592815157467109,0.0002983121976089,0.0691608567695149,3.355416991426344,4.8
12,0.4793452844894778,3,1.44,3,0.6772339896137787,0.6831569794448837,0.9470057331375107,0.3513941498207427,0.3579418188092625,0.0030401528054098,0.5185877890970353,1.4380358534684334,1.44
12,0.4793452844894778,4,1.92,4,0.8550186549501151,0.920640967198218,0.9599019947736592,0.3513372169329877,0.3611731100530657,0.0039698305863458,0.1327020906202879,1.917381137957911,1.9200000000000004
12,0.4793452844894778,5,2.4,5,0.634136172429911,0.7742524834794337,0.9690309683758029,0.351439689149261,0.3634365820410045,0.0044089132190117,0.0485175870290153,2.3967264224473888,2.4000000000000004
12,0.4793452844894778,6,2.88,6,0.7246992651457661,0.7704243419988744,0.8433806909351781,0.3517581976167904,0.3641644728793504,0.0035381711497103,0.043673447487862,2.8760717069368664,2.880000000000001
12,0.4793452844894778,7,3.36,7,0.47300370994232593,0.7242865825634149,0.8522827491430571,0.3512328969627384,0.3566122731174314,0.0047305331148134,0.1008492421491568,3.355416991426344,3.3600000000000003
12,0.4793452844894778,8,3.84,7,0.20799867936247243,0.732734697202451,0.926356894019042,0.3506659598016515,0.3715403164317337,0.0023287381009924,0.6807987272766255,3.355416991426344,3.8400000000000007
12,0.4793452844894778,9,4.32,7,0.20312487844604618,0.6991194877081344,0.9036402234853166,0.3506522450852137,0.3596288999260839,0.0010893072321322,0.6764737999168362,3.355416991426344,4.320000000000001
12,0.4793452844894778,10,4.8,7,0.16336251934292437,0.5191497664993584,0.7742052454965538,0.3505683816840498,0.361085773847314,0.0006772980360066,0.0265556108125391,3.3630561198462567,4.8
13,0.4793452844894778,3,1.44,3,0.6730640159423095,0.6872212897879435,0.9868494276231007,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.5534772719434387,1.4380358534684334,1.44
13,0.4793452844894778,4,1.92,4,0.8937982022431197,0.8961085410019025,0.9295275414663662,0.3513276503400966,0.4848618374081753,0.0039698450776741,0.0631389036784947,1.917381137957911,1.92
13,0.4793452844894778,5,2.4,5,0.5709019703160126,0.7493688362868308,0.8842311851268337,0.3514838934781601,0.3599019056252139,0.0044090594742726,0.0485175870290153,2.3967264224473888,2.4000000000000004
13,0.4793452844894778,6,2.88,6,0.6721822486832505,0.7343140321694217,0.8493245812942272,0.3517580302153226,0.3609722771801174,0.003537729086133,0.043673447487862,2.8760717069368664,2.8800000000000003
13,0.4793452844894778,7,3.36,7,0.4157775645560111,0.7530721941473177,0.8541854200022823,0.3512491973346286,0.3575592405747836,0.004732328008946,0.1008492421491568,3.355416991426344,3.3600000000000003
13,0.4793452844894778,8,3.84,7,0.3140097447200172,0.7634044387215623,0.7885949336281193,0.3507979236279983,0.3587087360445792,0.0019948436759591,0.6821584489775773,3.355416991426344,3.84
