trial,epsilon_m,eps_total_idx,eps_total,T,hv_NSGAII,hv_MOMA,hv_AMOMA,f1_min,f1_max,f2_min,f2_max,f3_min,f3_max
1,4.042161000227207,3,12.12,2,0.6956935805226078,0.6888797944369707,0.8012837075078562,3.267105557300048,4.022809772074529,0.0020770759230045,0.072500665004789,8.084322000454414,12.12
1,4.042161000227207,4,16.16,3,0.7590060977757775,0.738272115882776,0.914580954026583,3.266849205884155,3.9734856357469663,0.0006572534039416,0.0642669204610924,12.12648300068162,16.160000000000004
1,4.042161000227207,5,20.2,4,0.3769584047029022,0.7764615240328009,0.9669371015348602,3.267036571447962,3.933994233548876,0.0006832526397381,0.0656199418049659,16.168644000908827,20.200000000000003
1,4.042161000227207,6,24.24,5,0.4437899183745677,0.7249889108729702,0.9697929184810934,3.266908330490096,3.779105152797342,0.0007667700004844,0.059334693581558,20.21080500113604,24.24
1,4.042161000227207,7,28.28,6,0.29981132479488687,0.6610745093929438,0.9937000312241954,3.2669338616278343,3.8492066098630535,0.000655574108848,0.0692221576164805,24.25296600136324,28.280000000000005
1,4.042161000227207,8,32.32,7,0.28119447993730534,0.7882268752654353,0.9821783310745432,3.267025353818313,3.8026250486672497,0.0004852553103122,0.1099291946997953,28.295127001590448,32.32000000000001
1,4.042161000227207,9,36.36,7,0.24882389927920337,0.623293631573701,0.9199444945037331,3.266802494135641,3.8026393369871614,0.0004987678169441,0.0696238465137039,28.542878717719937,36.36000000000001
1,4.042161000227207,10,40.4,7,0.2413640027545946,0.47255083044582535,0.9714917328994079,3.2666230430431606,3.7841780605552313,0.0004102432628111,0.0613772273543551,28.4379523517782,40.400000000000006
10,4.042161000227207,3,12.12,2,0.7570568976133025,0.730556989860151,0.8705832160911152,3.26689945012408,3.818288916018645,0.0022207912791057,0.0774423388806032,8.084322000454414,12.12
10,4.042161000227207,4,16.16,3,0.3529649846618729,0.7948672612931657,0.8876015462392458,3.2670079013506803,3.784342221140448,0.0013606158557885,0.0680532248288371,12.12648300068162,16.160000000000004
10,4.042161000227207,5,20.2,4,0.5211217248295281,0.8163130285947947,0.9864114612584406,3.2671406672000645,3.779109506660328,0.0010026328158315,0.0699431921578298,16.168644000908827,20.200000000000003
10,4.042161000227207,6,24.24,5,0.26199644209466133,0.8748087588396184,0.9712286521099878,3.266869005158422,3.461559265137244,0.0005862891726725,0.070063171785048,20.21080500113604,24.24
10,4.042161000227207,7,28.28,6,0.30464196320237336,0.7053343123062412,0.9756911291056891,3.266933861681838,3.462132859850396,0.0006434283249019,0.0548112619279771,24.25296600136324,28.280000000000005
10,4.042161000227207,8,32.32,7,0.27584022574766054,0.7858013744214254,0.976861352856105,3.2670451042673045,3.777355455647464,0.0004116563355963,0.0607281971014699,28.295127001590448,32.32000000000001
10,4.042161000227207,9,36.36,7,0.27715295696394926,0.6140033220764435,0.872092789348931,3.2667382642173144,3.780084164705345,0.0003061976080803,0.1082399257189181,28.295127001590448,36.36
10,4.042161000227207,10,40.4,7,0.13563897493626323,0.5719403886305124,0.9807464591219659,3.2666572820354043,3.7749208870289,0.0005042597123667,0.1078550380085892,28.306988983001727,40.4
11,4.042161000227207,3,12.12,2,0.7566703497721126,0.7519008064483937,0.87534571181166,3.267011208134816,3.954900774571828,0.0017782374593303,0.078252057712553,8.084322000454414,12.12
11,4.042161000227207,4,16.16,3,0.8000724909589361,0.8092947139533356,0.9296857138084668,3.267025651447407,3.894292943694511,0.0006572534039416,0.0675040552428462,12.12648300068162,16.160000000000004
11,4.042161000227207,5,20.2,4,0.5510613796783226,0.8171470886683698,0.9743984640188252,3.2669174515051256,3.83905357874603,0.0004729009299471,0.0662681387385082,16.168644000908827,20.200000000000003
11,4.042161000227207,6,24.24,5,0.2639588713177468,0.8200928133593994,0.9036519632719989,3.266908330490078,3.779584385002542,0.0006469228472915,0.0654675552025977,20.21080500113604,24.24
11,4.042161000227207,7,28.28,6,0.26878187251289065,0.8352252441453756,0.9645962192064951,3.26693386165796,3.817359035458146,0.0004644025156502,0.060358841357839,24.25296600136324,28.280000000000005
11,4.042161000227207,8,32.32,7,0.35270162519744525,0.7806048403691269,0.9601124506702672,3.266898667089664,3.7848434929229815,0.0005262967350823,0.0651587259087224,28.295127001590448,32.32
11,4.042161000227207,9,36.36,7,0.18643986480649047,0.7420088605544484,0.9618867248824354,3.266769952601532,3.4609424830559576,0.0005550571735515,0.0600161903712601,28.295127001590448,36.36
11,4.042161000227207,10,40.4,7,0.16130161499679863,0.5639345231935423,0.9762183793047929,3.266572762018837,3.78097141137043,0.000449345553728,0.0728696713990935,28.295127001590448,40.4
12,4.042161000227207,3,12.12,2,0.756001498404579,0.7381246626826398,0.8714057482634752,3.26689945012408,3.959140930308591,0.0022207912791057,0.0750569681173189,8.084322000454414,12.12
12,4.042161000227207,4,16.16,3,0.30723248197466596,0.7361385726410655,0.9323322007518875,3.266993440656236,3.7860088857756096,0.0009769067790249,0.0622418140590418,12.12648300068162,16.160000000000004
12,4.042161000227207,5,20.2,4,0.7494821130864459,0.824306094882818,0.9724999401177881,3.267010162228847,3.779109506660328,0.0010224066722931,0.0687669498592653,16.168644000908827,20.200000000000003
12,4.042161000227207,6,24.24,5,0.7645924711004569,0.8085526328744734,0.8872605133416106,3.2669083304925364,3.77691461951075,0.0008229182015311,0.0697826552950133,20.21080500113604,24.24
12,4.042161000227207,7,28.28,6,0.26171179236647274,0.7706733157469942,0.9340455951519757,3.266933861733324,3.873177103499141,0.0007246958969625,0.0624465507408257,24.25296600136324,28.280000000000005
12,4.042161000227207,8,32.32,7,0.40906336791275894,0.8759289276137743,0.8443579899542545,3.266857929384629,3.653884904668841,0.0003943268575431,0.0603983390591689,28.295127001590448,32.32000000000001
12,4.042161000227207,9,36.36,7,0.22684455783075938,0.723587441492914,0.8855093807172076,3.2668142991320246,3.645890793221505,0.0005759577832214,0.0707261161320285,28.34204228268719,36.36
12,4.042161000227207,10,40.4,7,0.1737876203607441,0.48527630462699267,0.9460737771004731,3.266561146909352,3.774489998041994,0.0003053790290087,0.0611705989074468,28.415297248240154,40.400000000000006
13,4.042161000227207,3,12.12,2,0.7518916990721969,0.7614431285021217,0.855580125591574,3.26689945012408,3.9549871435736814,0.00211398866721,0.0754652499103751,8.084322000454414,12.12
13,4.042161000227207,4,16.16,3,0.39002955691295316,0.7295507187221238,0.9154342641094911,3.266849205884156,3.893299483272304,0.0006572534039416,0.0668681616830006,12.12648300068162,16.160000000000004
13,4.042161000227207,5,20.2,4,0.5330700898446805,0.8489475212381004,0.9856591076373437,3.2668906160723226,3.777976454953991,0.0010218913751886,0.0665318366332152,16.168644000908827,20.2
13,4.042161000227207,6,24.24,5,0.27937216945745624,0.7380794521551892,0.9860556075649269,3.266908330497127,3.459550091020628,0.0007207951661562,0.0655243948284401,20.21080500113604,24.24
13,4.042161000227207,7,28.28,6,0.270778065547178,0.8254663817543186,0.9420315574031627,3.266893341387407,3.8452121730493207,0.0004640661230747,0.0686313343514201,24.25296600136324,28.280000000000005
