trial,eps_total_idx,eps_total,method,point_idx,NICV,BSTAB_NICV,epsilon,epsilon_m,T,objective_spec,obj_1,f_1,obj_2,f_2,obj_3,f_3,obj_4,f_4,obj_5,f_5,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6,eps_7
15,3,12.12,KMeans,0,3.2664501582856778,0.0009622362051898123,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2664501582856778,bstab:min,0.0009622362051898123,eps:min,12.12,,,,,6.06,6.06,,,,,
15,3,12.12,DP-KMeans,0,3.7789889919443054,0.03228943381932499,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.7789889919443054,bstab:min,0.03228943381932499,eps:min,12.12,,,,,6.06,6.06,,,,,
15,3,12.12,GA-DP,0,3.320582642086942,0.030925087154016866,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.320582642086942,bstab:min,0.030925087154016866,eps:min,12.12,,,,,4.1586135162637925,7.961386483736207,,,,,
15,3,12.12,NSGA-II,0,3.2895153072349785,0.01886438973562243,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2895153072349785,bstab:min,0.01886438973562243,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,NSGA-II,1,3.2895153072349785,0.01886438973562243,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2895153072349785,bstab:min,0.01886438973562243,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,NSGA-II,2,3.2804983151155738,0.032262478502887076,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2804983151155738,bstab:min,0.032262478502887076,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,NSGA-II,3,3.269136911867443,0.046070737511880254,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.269136911867443,bstab:min,0.046070737511880254,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,NSGA-II,4,3.270255899613634,0.036723461191577274,8.365283095176588,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.270255899613634,bstab:min,0.036723461191577274,eps:min,8.365283095176588,,,,,4.042161000227207,4.323122094949381,,,,,
15,3,12.12,NSGA-II,5,3.2881287552319476,0.018940825079386308,8.505763642537676,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2881287552319476,bstab:min,0.018940825079386308,eps:min,8.505763642537676,,,,,4.042161000227207,4.463602642310469,,,,,
15,3,12.12,NSGA-II,6,3.2887613515105953,0.01890715947031151,8.780991199003505,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2887613515105953,bstab:min,0.01890715947031151,eps:min,8.780991199003505,,,,,4.524448755078281,4.256542443925225,,,,,
15,3,12.12,NSGA-II,7,3.2885805525301235,0.01891692094985032,9.022606940674041,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2885805525301235,bstab:min,0.01891692094985032,eps:min,9.022606940674041,,,,,4.709683713274181,4.31292322739986,,,,,
15,3,12.12,NSGA-II,8,3.2804983151155738,0.031689495974132086,9.176454767294876,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2804983151155738,bstab:min,0.031689495974132086,eps:min,9.176454767294876,,,,,5.134293767067669,4.042161000227207,,,,,
15,3,12.12,NSGA-II,9,3.27001425167895,0.036675778791902536,9.4776603975526,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.27001425167895,bstab:min,0.036675778791902536,eps:min,9.4776603975526,,,,,5.006736509929356,4.470923887623244,,,,,
15,3,12.12,NSGA-II,10,3.2688500195687573,0.03700103068398311,9.514683142424072,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2688500195687573,bstab:min,0.03700103068398311,eps:min,9.514683142424072,,,,,4.042161000227207,5.4725221421968655,,,,,
15,3,12.12,NSGA-II,11,3.2873097643496707,0.018982262153205406,9.996760558484105,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2873097643496707,bstab:min,0.018982262153205406,eps:min,9.996760558484105,,,,,5.217507034021736,4.779253524462369,,,,,
15,3,12.12,NSGA-II,12,3.2786061747832242,0.03172370351968288,10.351490516632975,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2786061747832242,bstab:min,0.03172370351968288,eps:min,10.351490516632975,,,,,5.782088653195854,4.569401863437121,,,,,
15,3,12.12,NSGA-II,13,3.2776812482537228,0.03175661246987082,10.637971873287194,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2776812482537228,bstab:min,0.03175661246987082,eps:min,10.637971873287194,,,,,5.721966783964934,4.91600508932226,,,,,
15,3,12.12,NSGA-II,14,3.276948842997298,0.03178214748910603,11.019677799563064,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.276948842997298,bstab:min,0.03178214748910603,eps:min,11.019677799563064,,,,,5.764868454496667,5.2548093450663975,,,,,
15,3,12.12,NSGA-II,15,3.276948842997298,0.03178214748910603,11.019677799563064,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.276948842997298,bstab:min,0.03178214748910603,eps:min,11.019677799563064,,,,,5.764868454496667,5.2548093450663975,,,,,
15,3,12.12,NSGA-II,16,3.2863142055321606,0.019028854727670592,11.48903484911553,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2863142055321606,bstab:min,0.019028854727670592,eps:min,11.48903484911553,,,,,6.226426533908132,5.262608315207398,,,,,
15,3,12.12,NSGA-II,17,3.2863142055321606,0.019028854727670592,11.48903484911553,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2863142055321606,bstab:min,0.019028854727670592,eps:min,11.48903484911553,,,,,6.226426533908132,5.262608315207398,,,,,
15,3,12.12,NSGA-II,18,3.26814143387805,0.04499541846329254,11.4894957944633,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.26814143387805,bstab:min,0.04499541846329254,eps:min,11.4894957944633,,,,,6.392853067816265,5.096642726647035,,,,,
15,3,12.12,NSGA-II,19,3.2676470019198454,0.045080446556167476,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2676470019198454,bstab:min,0.045080446556167476,eps:min,12.12,,,,,6.06,6.06,,,,,
15,3,12.12,MOMA,0,3.368960744783933,0.022866723092807698,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.368960744783933,bstab:min,0.022866723092807698,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,MOMA,1,3.269136911867443,0.046070737511880254,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.269136911867443,bstab:min,0.046070737511880254,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,MOMA,2,3.304887298935238,0.02828516809403345,8.23501162536921,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.304887298935238,bstab:min,0.02828516809403345,eps:min,8.23501162536921,,,,,4.192850625142004,4.042161000227207,,,,,
15,3,12.12,MOMA,3,3.2707884566086514,0.03661684722028982,8.28578175039761,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2707884566086514,bstab:min,0.03661684722028982,eps:min,8.28578175039761,,,,,4.243620750170405,4.042161000227207,,,,,
15,3,12.12,MOMA,4,3.3047055206571065,0.02833293590950646,8.39284368011058,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3047055206571065,bstab:min,0.02833293590950646,eps:min,8.39284368011058,,,,,4.142890875198805,4.249952804911774,,,,,
15,3,12.12,MOMA,5,3.3045369752076432,0.028168995746174232,8.550137797251455,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3045369752076432,bstab:min,0.028168995746174232,eps:min,8.550137797251455,,,,,4.055097547194654,4.495040250056801,,,,,
15,3,12.12,MOMA,6,3.36645072550183,0.02280753197112755,8.918730719533492,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.36645072550183,bstab:min,0.02280753197112755,eps:min,8.918730719533492,,,,,4.445080500113603,4.47365021941989,,,,,
15,3,12.12,MOMA,7,3.363348819601222,0.022810695516281728,9.547907188096993,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.363348819601222,bstab:min,0.022810695516281728,eps:min,9.547907188096993,,,,,5.105629172884926,4.442278015212066,,,,,
15,3,12.12,MOMA,8,3.268864660542745,0.05066045687705314,9.913365359766747,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268864660542745,bstab:min,0.05066045687705314,eps:min,9.913365359766747,,,,,4.243620750170405,5.669744609596341,,,,,
15,3,12.12,MOMA,9,3.304087516932151,0.02826774987206231,10.102161000227206,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.304087516932151,bstab:min,0.02826774987206231,eps:min,10.102161000227206,,,,,4.042161000227207,6.06,,,,,
15,3,12.12,MOMA,10,3.268461540021208,0.06785375267788837,10.102161000227206,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268461540021208,bstab:min,0.06785375267788837,eps:min,10.102161000227206,,,,,4.042161000227207,6.06,,,,,
15,3,12.12,MOMA,11,3.268461540021208,0.06785375267788837,10.102161000227206,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268461540021208,bstab:min,0.06785375267788837,eps:min,10.102161000227206,,,,,4.042161000227207,6.06,,,,,
15,3,12.12,MOMA,12,3.2773714837477397,0.03176745865727727,10.505080500113603,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2773714837477397,bstab:min,0.03176745865727727,eps:min,10.505080500113603,,,,,5.454,5.051080500113603,,,,,
15,3,12.12,MOMA,13,3.286617743290131,0.01901513215150531,10.567976797024247,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.286617743290131,bstab:min,0.01901513215150531,eps:min,10.567976797024247,,,,,5.466936546967446,5.101040250056801,,,,,
15,3,12.12,MOMA,14,3.2671776587989196,0.045593646983782946,11.817,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671776587989196,bstab:min,0.045593646983782946,eps:min,11.817,,,,,4.042161000227207,7.7748389997727925,,,,,
15,3,12.12,MOMA,15,3.2895153072349785,0.018624638404276195,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2895153072349785,bstab:min,0.018624638404276195,eps:min,12.12,,,,,8.077838999772792,4.042161000227207,,,,,
15,3,12.12,MOMA,16,3.2895153072349785,0.018624638404276195,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2895153072349785,bstab:min,0.018624638404276195,eps:min,12.12,,,,,8.077838999772792,4.042161000227207,,,,,
15,3,12.12,MOMA,17,3.2675658060359134,0.03727166499999481,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2675658060359134,bstab:min,0.03727166499999481,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
15,3,12.12,MOMA,18,3.2671241533055646,0.04557611423228323,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671241533055646,bstab:min,0.04557611423228323,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
15,3,12.12,MOMA,19,3.2671241533055646,0.04557611423228323,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671241533055646,bstab:min,0.04557611423228323,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
15,3,12.12,AMOMA,0,3.459297368689764,0.01636409548234097,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.459297368689764,bstab:min,0.01636409548234097,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,AMOMA,1,3.2847299595181463,0.017249252425781094,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2847299595181463,bstab:min,0.017249252425781094,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,AMOMA,2,3.2688343294322233,0.027112977232820218,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2688343294322233,bstab:min,0.027112977232820218,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
15,3,12.12,AMOMA,3,3.268790819644371,0.04451522741949463,8.363112983101951,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268790819644371,bstab:min,0.04451522741949463,eps:min,8.363112983101951,,,,,4.042161000227207,4.320951982874744,,,,,
15,3,12.12,AMOMA,4,3.284240863003609,0.022440631401184248,8.69819715125004,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.284240863003609,bstab:min,0.022440631401184248,eps:min,8.69819715125004,,,,,4.042161000227207,4.656036151022834,,,,,
15,3,12.12,AMOMA,5,3.2681383285836176,0.062055422464426746,8.9629255951981,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2681383285836176,bstab:min,0.062055422464426746,eps:min,8.9629255951981,,,,,4.920764594970893,4.042161000227207,,,,,
15,3,12.12,AMOMA,6,3.268479327577652,0.02033443052695137,9.566072131069731,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268479327577652,bstab:min,0.02033443052695137,eps:min,9.566072131069731,,,,,4.4468015310137785,5.119270600055953,,,,,
15,3,12.12,AMOMA,7,3.268244519430251,0.047536564685389374,9.970497553302813,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268244519430251,bstab:min,0.047536564685389374,eps:min,9.970497553302813,,,,,4.042161000227207,5.928336553075606,,,,,
15,3,12.12,AMOMA,8,3.960165879944414,0.0058882451422968924,10.172072131069731,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.960165879944414,bstab:min,0.0058882451422968924,eps:min,10.172072131069731,,,,,5.052801531013778,5.119270600055953,,,,,
15,3,12.12,AMOMA,9,3.5876763007570864,0.013832883238507765,10.198556928977897,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.5876763007570864,bstab:min,0.013832883238507765,eps:min,10.198556928977897,,,,,5.079286328921945,5.119270600055953,,,,,
15,3,12.12,AMOMA,10,3.2679969176619084,0.06325706469092285,10.238645196744095,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2679969176619084,bstab:min,0.06325706469092285,eps:min,10.238645196744095,,,,,5.119374596688141,5.119270600055953,,,,,
15,3,12.12,AMOMA,11,3.2676919634580788,0.07811334115690005,10.58170990695562,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2676919634580788,bstab:min,0.07811334115690005,eps:min,10.58170990695562,,,,,4.856439306899667,5.725270600055953,,,,,
15,3,12.12,AMOMA,12,3.270919973272719,0.009349606961444646,10.741936631872209,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.270919973272719,bstab:min,0.009349606961444646,eps:min,10.741936631872209,,,,,6.699775631645002,4.042161000227207,,,,,
