trial,eps_total_idx,eps_total,method,point_idx,NICV,BSTAB_NICV,epsilon,epsilon_m,T,objective_spec,obj_1,f_1,obj_2,f_2,obj_3,f_3,obj_4,f_4,obj_5,f_5,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6,eps_7
9,3,12.12,KMeans,0,3.2664501582856778,0.0011954207869509382,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2664501582856778,bstab:min,0.0011954207869509382,eps:min,12.12,,,,,6.06,6.06,,,,,
9,3,12.12,DP-KMeans,0,3.9152269211993436,0.05072228628448662,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.9152269211993436,bstab:min,0.05072228628448662,eps:min,12.12,,,,,6.06,6.06,,,,,
9,3,12.12,GA-DP,0,3.2853222276061085,0.044874115700333166,12.120000000000001,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2853222276061085,bstab:min,0.044874115700333166,eps:min,12.120000000000001,,,,,4.79336550738197,7.32663449261803,,,,,
9,3,12.12,NSGA-II,0,3.431661777389496,0.02590009147261849,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.431661777389496,bstab:min,0.02590009147261849,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
9,3,12.12,NSGA-II,1,3.461447566623545,0.025183363533486523,8.100086367640138,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.461447566623545,bstab:min,0.025183363533486523,eps:min,8.100086367640138,,,,,4.057925367412931,4.042161000227207,,,,,
9,3,12.12,NSGA-II,2,3.458989485865293,0.01945251846922839,8.210436937940212,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.458989485865293,bstab:min,0.01945251846922839,eps:min,8.210436937940212,,,,,4.168275937713006,4.042161000227207,,,,,
9,3,12.12,NSGA-II,3,3.2688696522497556,0.06845162765841183,9.881459859627057,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2688696522497556,bstab:min,0.06845162765841183,eps:min,9.881459859627057,,,,,4.35880267855946,5.522657181067597,,,,,
9,3,12.12,NSGA-II,4,3.2675090280600663,0.045691984768655165,10.998238202018296,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2675090280600663,bstab:min,0.045691984768655165,eps:min,10.998238202018296,,,,,4.555039575613499,6.443198626404798,,,,,
9,3,12.12,NSGA-II,5,3.267514384604316,0.045327609320605734,11.90691596617005,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267514384604316,bstab:min,0.045327609320605734,eps:min,11.90691596617005,,,,,5.479971617128899,6.42694434904115,,,,,
9,3,12.12,NSGA-II,6,3.3248738524039942,0.028452938766573975,8.365983337096607,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3248738524039942,bstab:min,0.028452938766573975,eps:min,8.365983337096607,,,,,4.2590957413905635,4.106887595706043,,,,,
9,3,12.12,NSGA-II,7,3.368960744783933,0.022866723092807698,8.147379469197313,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.368960744783933,bstab:min,0.022866723092807698,eps:min,8.147379469197313,,,,,4.105218468970106,4.042161000227207,,,,,
9,3,12.12,NSGA-II,8,3.328581743459996,0.027810752240844016,11.124353139504096,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.328581743459996,bstab:min,0.027810752240844016,eps:min,11.124353139504096,,,,,4.535419221515327,6.588933917988769,,,,,
9,3,12.12,NSGA-II,9,3.2687339695448365,0.03627167089842448,11.6155402500568,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2687339695448365,bstab:min,0.03627167089842448,eps:min,11.6155402500568,,,,,4.612386888148813,7.003153361907987,,,,,
