trial,eps_total_idx,eps_total,method,point_idx,NICV,BSTAB_NICV,epsilon,epsilon_m,T,objective_spec,obj_1,f_1,obj_2,f_2,obj_3,f_3,obj_4,f_4,obj_5,f_5,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6,eps_7,obj_4_x,obj_5_x,obj_4_y,obj_5_y
11,3.0,12.12,KMeans,0,3.2664501582856778,0.0009433350144415,12.12,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.2664501582856778,bstab:min,0.0009433350144415,eps:min,12.12,,,,,6.06,6.06,,,,,,,,,
11,3.0,12.12,DP-KMeans,0,3.779474933424678,0.0526461079107943,12.12,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.779474933424678,bstab:min,0.0526461079107943,eps:min,12.12,,,,,6.06,6.06,,,,,,,,,
11,3.0,12.12,GA-DP,0,3.2702976501923486,0.0571479084091463,12.120000062369163,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.2702976501923486,bstab:min,0.0571479084091463,eps:min,12.120000062369163,,,,,4.042161000227207,8.077839062141958,,,,,,,,,
11,3.0,12.12,NSGA-II,0,3.456158558606651,0.0495317430106682,8.084322000454414,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.456158558606651,bstab:min,0.0495317430106682,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,,,,,
11,3.0,12.12,NSGA-II,1,3.461290927601618,0.0251615064318744,8.149193988069875,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.461290927601618,bstab:min,0.0251615064318744,eps:min,8.149193988069875,,,,,4.060524815540004,4.088669172529871,,,,,,,,,
11,3.0,12.12,NSGA-II,2,3.324798063244477,0.0284860549425199,8.173187224372526,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.324798063244477,bstab:min,0.0284860549425199,eps:min,8.173187224372526,,,,,4.13102622414532,4.042161000227207,,,,,,,,,
11,3.0,12.12,NSGA-II,3,3.270600392925909,0.0366511255754849,8.214065975685335,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.270600392925909,bstab:min,0.0366511255754849,eps:min,8.214065975685335,,,,,4.0788886308528,4.135177344832535,,,,,,,,,
11,3.0,12.12,NSGA-II,4,3.289092695108899,0.0188885706411938,8.246501969493064,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.289092695108899,bstab:min,0.0188885706411938,eps:min,8.246501969493064,,,,,4.088070538509198,4.158431430983867,,,,,,,,,
11,3.0,12.12,NSGA-II,5,3.270591424826423,0.0684140280246357,8.311121754706303,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.270591424826423,bstab:min,0.0684140280246357,eps:min,8.311121754706303,,,,,4.096930425460736,4.214191329245567,,,,,,,,,
11,3.0,12.12,NSGA-II,6,3.270534674921671,0.0684018867071077,8.37573228962838,4.042161000227207,2.0,nicv:min|bstab:min|eps:min,nicv:min,3.270534674921671,bstab:min,0.0684018867071077,eps:min,8.37573228962838,,,,,4.1321587331585246,4.243573556469855,,,,,,,,,
