trial,eps_total_idx,eps_total,method,point_idx,NICV,BSTAB_NICV,epsilon,epsilon_m,T,objective_spec,obj_1,f_1,obj_2,f_2,obj_3,f_3,obj_4,f_4,obj_5,f_5,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6,eps_7
7,3,12.12,KMeans,0,3.2664501582856778,0.0005815562160069553,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2664501582856778,bstab:min,0.0005815562160069553,eps:min,12.12,,,,,6.06,6.06,,,,,
7,3,12.12,DP-KMeans,0,3.447807956255755,0.052393055104104136,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.447807956255755,bstab:min,0.052393055104104136,eps:min,12.12,,,,,6.06,6.06,,,,,
7,3,12.12,GA-DP,0,3.269124493029954,0.07252434974126146,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.269124493029954,bstab:min,0.07252434974126146,eps:min,12.12,,,,,5.420669797365864,6.699330202634135,,,,,
7,3,12.12,NSGA-II,0,3.396704408325577,0.027679477946075597,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.396704408325577,bstab:min,0.027679477946075597,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
7,3,12.12,NSGA-II,1,3.269136911867443,0.046070737511880254,8.089639790699083,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.269136911867443,bstab:min,0.046070737511880254,eps:min,8.089639790699083,,,,,4.047478790471876,4.042161000227207,,,,,
7,3,12.12,NSGA-II,2,3.465001360030135,0.022580541025786213,8.41579808597242,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.465001360030135,bstab:min,0.022580541025786213,eps:min,8.41579808597242,,,,,4.042161000227207,4.373637085745214,,,,,
7,3,12.12,NSGA-II,3,3.455987902656043,0.019436285909908563,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.455987902656043,bstab:min,0.019436285909908563,eps:min,12.12,,,,,5.134962490272759,6.98503750972724,,,,,
7,3,12.12,NSGA-II,4,3.2673512838742207,0.04536322072110212,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2673512838742207,bstab:min,0.04536322072110212,eps:min,12.12,,,,,5.134962490272759,6.98503750972724,,,,,
7,3,12.12,NSGA-II,5,3.268029836692759,0.03718333004866007,10.983187419978979,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268029836692759,bstab:min,0.03718333004866007,eps:min,10.983187419978979,,,,,4.212330288056638,6.77085713192234,,,,,
7,3,12.12,NSGA-II,6,3.270461752248237,0.036680060427978875,8.250060043213416,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.270461752248237,bstab:min,0.036680060427978875,eps:min,8.250060043213416,,,,,4.042161000227207,4.20789904298621,,,,,
