trial,eps_total_idx,eps_total,method,point_idx,NICV,BSTAB_NICV,epsilon,epsilon_m,T,objective_spec,obj_1,f_1,obj_2,f_2,obj_3,f_3,obj_4,f_4,obj_5,f_5,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6,eps_7
2,3,12.12,KMeans,0,3.2664501582856778,0.0011305724524126523,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2664501582856778,bstab:min,0.0011305724524126523,eps:min,12.12,,,,,6.06,6.06,,,,,
2,3,12.12,DP-KMeans,0,3.4316101327642685,0.05788968484500762,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.4316101327642685,bstab:min,0.05788968484500762,eps:min,12.12,,,,,6.06,6.06,,,,,
2,3,12.12,GA-DP,0,3.77438623386111,0.03697363734674501,12.120000000000001,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.77438623386111,bstab:min,0.03697363734674501,eps:min,12.120000000000001,,,,,4.089339935515418,8.030660064484582,,,,,
2,3,12.12,NSGA-II,0,3.269136911867443,0.046070737511880254,8.276651838186712,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.269136911867443,bstab:min,0.046070737511880254,eps:min,8.276651838186712,,,,,4.2344908379595045,4.042161000227207,,,,,
2,3,12.12,NSGA-II,1,3.2701948531440626,0.03674237493277441,8.551171115646012,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2701948531440626,bstab:min,0.03674237493277441,eps:min,8.551171115646012,,,,,4.192065138459733,4.359105977186279,,,,,
2,3,12.12,NSGA-II,2,3.2701948531440626,0.03674237493277441,8.551171115646012,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2701948531440626,bstab:min,0.03674237493277441,eps:min,8.551171115646012,,,,,4.192065138459733,4.359105977186279,,,,,
2,3,12.12,NSGA-II,3,3.2685002772483807,0.045931409939196186,8.802631023014975,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2685002772483807,bstab:min,0.045931409939196186,eps:min,8.802631023014975,,,,,4.174152065337607,4.628478957677368,,,,,
2,3,12.12,NSGA-II,4,3.3655185254228277,0.02279040107319206,8.825690393105312,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3655185254228277,bstab:min,0.02279040107319206,eps:min,8.825690393105312,,,,,4.149639438959961,4.676050954145351,,,,,
2,3,12.12,NSGA-II,5,3.364263808245976,0.02276572449733228,9.088411785487576,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.364263808245976,bstab:min,0.02276572449733228,eps:min,9.088411785487576,,,,,4.0874150796936295,5.000996705793947,,,,,
2,3,12.12,NSGA-II,6,3.851069625256851,0.022648231021398433,9.374728948023913,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.851069625256851,bstab:min,0.022648231021398433,eps:min,9.374728948023913,,,,,4.064788039960418,5.309940908063495,,,,,
2,3,12.12,NSGA-II,7,3.2689561338866806,0.03698868256203037,9.537381560472468,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2689561338866806,bstab:min,0.03698868256203037,eps:min,9.537381560472468,,,,,4.184332171540953,5.353049388931515,,,,,
2,3,12.12,NSGA-II,8,3.456777679668212,0.019549896593754536,9.755434720970024,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.456777679668212,bstab:min,0.019549896593754536,eps:min,9.755434720970024,,,,,4.102499772849104,5.652934948120921,,,,,
2,3,12.12,NSGA-II,9,3.2687769278953227,0.037025840098499664,9.82386182393106,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2687769278953227,bstab:min,0.037025840098499664,eps:min,9.82386182393106,,,,,4.264334295711257,5.559527528219802,,,,,
2,3,12.12,NSGA-II,10,3.3623642624766545,0.022731136759911306,10.047054892316673,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3623642624766545,bstab:min,0.022731136759911306,eps:min,10.047054892316673,,,,,4.381240667666184,5.6658142246504895,,,,,
2,3,12.12,NSGA-II,11,3.2676589066363046,0.04573192839326708,10.249072727839621,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2676589066363046,bstab:min,0.04573192839326708,eps:min,10.249072727839621,,,,,4.2190249041219445,6.030047823717678,,,,,
2,3,12.12,NSGA-II,12,3.3610568298053805,0.02271353275221483,10.806790864385476,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3610568298053805,bstab:min,0.02271353275221483,eps:min,10.806790864385476,,,,,4.478965244617571,6.327825619767906,,,,,
2,3,12.12,NSGA-II,13,3.267889729578711,0.03721355185615788,11.33965593118727,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267889729578711,bstab:min,0.03721355185615788,eps:min,11.33965593118727,,,,,4.241707255978046,7.097948675209225,,,,,
2,3,12.12,NSGA-II,14,3.267889729578711,0.03721355185615788,11.33965593118727,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267889729578711,bstab:min,0.03721355185615788,eps:min,11.33965593118727,,,,,4.241707255978046,7.097948675209225,,,,,
2,3,12.12,NSGA-II,15,3.2672886291241707,0.0456284214280615,11.592657244848056,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2672886291241707,bstab:min,0.0456284214280615,eps:min,11.592657244848056,,,,,4.351071281355235,7.241585963492821,,,,,
2,3,12.12,NSGA-II,16,3.3598310415166637,0.022704124052149124,12.030211939261509,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3598310415166637,bstab:min,0.022704124052149124,eps:min,12.030211939261509,,,,,4.79509194376414,7.235119995497369,,,,,
2,3,12.12,NSGA-II,17,3.268359475355196,0.036036858335719915,12.075105969630755,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268359475355196,bstab:min,0.036036858335719915,eps:min,12.075105969630755,,,,,4.418626471995673,7.656479497635081,,,,,
2,3,12.12,NSGA-II,18,3.3590512158021846,0.022697936707145667,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3590512158021846,bstab:min,0.022697936707145667,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,NSGA-II,19,3.2671241533055646,0.04557611423228323,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671241533055646,bstab:min,0.04557611423228323,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,MOMA,0,3.458989485865293,0.01945251846922839,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.458989485865293,bstab:min,0.01945251846922839,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
2,3,12.12,MOMA,1,3.2707884566086514,0.0366122368210736,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2707884566086514,bstab:min,0.0366122368210736,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
2,3,12.12,MOMA,2,3.396680798068034,0.027673206710683393,8.095572062238423,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.396680798068034,bstab:min,0.027673206710683393,eps:min,8.095572062238423,,,,,4.042161000227207,4.053411062011216,,,,,
2,3,12.12,MOMA,3,3.368960744783933,0.022866723092807698,8.1500150638164,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.368960744783933,bstab:min,0.022866723092807698,eps:min,8.1500150638164,,,,,4.107854063589195,4.042161000227207,,,,,
2,3,12.12,MOMA,4,3.268819665859581,0.0460028902864581,8.346899375873273,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268819665859581,bstab:min,0.0460028902864581,eps:min,8.346899375873273,,,,,4.042161000227207,4.304738375646066,,,,,
2,3,12.12,MOMA,5,3.364230388843276,0.0227651109519737,9.05281887575967,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.364230388843276,bstab:min,0.0227651109519737,eps:min,9.05281887575967,,,,,4.042161000227207,5.010657875532463,,,,,
2,3,12.12,MOMA,6,3.362050515334212,0.02272609559166597,9.847045308297158,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.362050515334212,bstab:min,0.02272609559166597,eps:min,9.847045308297158,,,,,4.042161000227207,5.804884308069952,,,,,
2,3,12.12,MOMA,7,3.2694928052814687,0.03671284730380185,10.322406878373695,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2694928052814687,bstab:min,0.03671284730380185,eps:min,10.322406878373695,,,,,4.251156816589686,6.071250061784009,,,,,
2,3,12.12,MOMA,8,3.2683023912813556,0.03689488843429404,10.689518554355894,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2683023912813556,bstab:min,0.03689488843429404,eps:min,10.689518554355894,,,,,4.445080500113603,6.244438054242291,,,,,
2,3,12.12,MOMA,9,3.2681805324205984,0.04521672344402543,10.869099868557441,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2681805324205984,bstab:min,0.04521672344402543,eps:min,10.869099868557441,,,,,5.830450466969362,5.03864940158808,,,,,
2,3,12.12,MOMA,10,3.267845578738743,0.037210133459519845,11.253259277177946,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267845578738743,bstab:min,0.037210133459519845,eps:min,11.253259277177946,,,,,4.042161000227207,7.21109827695074,,,,,
2,3,12.12,MOMA,11,3.3572774384149073,0.02274062761852371,11.514,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.3572774384149073,bstab:min,0.02274062761852371,eps:min,11.514,,,,,6.06,5.454,,,,,
2,3,12.12,MOMA,12,3.267220293976861,0.04560736064056437,11.598518554355895,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267220293976861,bstab:min,0.04560736064056437,eps:min,11.598518554355895,,,,,4.042161000227207,7.556357554128688,,,,,
2,3,12.12,MOMA,13,3.360318081112472,0.02263617349232388,12.119999999999997,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.360318081112472,bstab:min,0.02263617349232388,eps:min,12.119999999999997,,,,,7.610673846354867,4.50932615364513,,,,,
2,3,12.12,MOMA,14,3.4571770375879005,0.019062356244393043,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.4571770375879005,bstab:min,0.019062356244393043,eps:min,12.12,,,,,6.90195125860785,5.218048741392149,,,,,
2,3,12.12,MOMA,15,3.45561179417859,0.019601576814493427,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.45561179417859,bstab:min,0.019601576814493427,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,MOMA,16,3.2681647946130785,0.03584073874565584,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2681647946130785,bstab:min,0.03584073874565584,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,MOMA,17,3.2675658060359134,0.03727166499999481,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2675658060359134,bstab:min,0.03727166499999481,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,MOMA,18,3.2671241533055646,0.04557611423228323,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671241533055646,bstab:min,0.04557611423228323,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,MOMA,19,3.2671241533055646,0.04557611423228323,12.12,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671241533055646,bstab:min,0.04557611423228323,eps:min,12.12,,,,,4.042161000227207,8.077838999772792,,,,,
2,3,12.12,AMOMA,0,3.8182889160186444,0.006324294637564789,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.8182889160186444,bstab:min,0.006324294637564789,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
2,3,12.12,AMOMA,1,3.306025417030971,0.012331490922408312,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.306025417030971,bstab:min,0.012331490922408312,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
2,3,12.12,AMOMA,2,3.2690904126419906,0.019170579412902088,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2690904126419906,bstab:min,0.019170579412902088,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
2,3,12.12,AMOMA,3,3.2689732689951776,0.041270674634244366,8.084322000454414,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2689732689951776,bstab:min,0.041270674634244366,eps:min,8.084322000454414,,,,,4.042161000227207,4.042161000227207,,,,,
2,3,12.12,AMOMA,4,3.2679465419274556,0.06482193448663795,8.355319337078555,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2679465419274556,bstab:min,0.06482193448663795,eps:min,8.355319337078555,,,,,4.042161000227207,4.313158336851349,,,,,
2,3,12.12,AMOMA,5,3.268447676081919,0.045177579664501255,9.055403447510361,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268447676081919,bstab:min,0.045177579664501255,eps:min,9.055403447510361,,,,,4.042161000227207,5.0132424472831545,,,,,
2,3,12.12,AMOMA,6,3.268847562024508,0.040492899430587655,9.334568669626197,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.268847562024508,bstab:min,0.040492899430587655,eps:min,9.334568669626197,,,,,4.445839999131015,4.888728670495183,,,,,
2,3,12.12,AMOMA,7,3.2689657359691897,0.026080685484671975,9.488886225258671,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2689657359691897,bstab:min,0.026080685484671975,eps:min,9.488886225258671,,,,,4.042161000227207,5.446725225031464,,,,,
2,3,12.12,AMOMA,8,3.267489662458013,0.06466396077636695,10.094886225258671,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267489662458013,bstab:min,0.06466396077636695,eps:min,10.094886225258671,,,,,4.042161000227207,6.052725225031464,,,,,
2,3,12.12,AMOMA,9,3.456350783131684,0.010160643119331781,10.517778239754277,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.456350783131684,bstab:min,0.010160643119331781,eps:min,10.517778239754277,,,,,4.042161000227207,6.47561723952707,,,,,
2,3,12.12,AMOMA,10,3.2679215525711975,0.048452437389729035,10.82704530477751,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2679215525711975,bstab:min,0.048452437389729035,eps:min,10.82704530477751,,,,,4.042161000227207,6.784884304550303,,,,,
2,3,12.12,AMOMA,11,3.4327164806912767,0.007571600662718386,11.123778239754277,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.4327164806912767,bstab:min,0.007571600662718386,eps:min,11.123778239754277,,,,,4.042161000227207,7.08161723952707,,,,,
2,3,12.12,AMOMA,12,3.2680553975834585,0.02264444470622763,11.123778239754277,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2680553975834585,bstab:min,0.02264444470622763,eps:min,11.123778239754277,,,,,4.042161000227207,7.08161723952707,,,,,
2,3,12.12,AMOMA,13,3.267714751866719,0.0318388742921609,11.447009634395199,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.267714751866719,bstab:min,0.0318388742921609,eps:min,11.447009634395199,,,,,4.042161000227207,7.404848634167992,,,,,
2,3,12.12,AMOMA,14,3.2676362945303303,0.06162777200420382,11.514,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2676362945303303,bstab:min,0.06162777200420382,eps:min,11.514,,,,,4.042161000227207,7.4718389997727925,,,,,
2,3,12.12,AMOMA,15,3.2671972163808256,0.05659233013038097,11.609541986175088,4.042161000227207,2,nicv:min|bstab:min|eps:min,nicv:min,3.2671972163808256,bstab:min,0.05659233013038097,eps:min,11.609541986175088,,,,,4.042161000227207,7.5673809859478816,,,,,
